model,beta,n_char,p,q,sigma_max,sigma_min,label,mm,beta_sd,Method,Draw,mse_loss_shannon,mse_loss_simpson,mse_loss_euclidean,mse_loss_bray_curtis,mse_loss_bray_curtis_subset,mse_loss_euclidean_subset,time
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.97,3.086625219452632,0.3034548515899683,0.8357965028765368,0.5480426456641228,0.2740213228320614,0.4178982514382684,0.32399999999999807
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.98,2.874031348692079,0.26688764335183884,0.7660855992339705,0.5347656894538734,0.2673828447269367,0.38304279961698523,0.3230000000000004
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.99,2.8553988163243105,0.2708390850224416,0.7332756709221041,0.5231667918099765,0.26158339590498825,0.36663783546105205,0.32200000000000273
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.100,2.3944684384984227,0.20390982823400317,0.6264895933520581,0.5107530683033881,0.25537653415169403,0.31324479667602906,0.3269999999999982
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.101,2.591784777127745,0.22745692771012796,0.7303192367739408,0.5416429314030976,0.2708214657015488,0.3651596183869704,0.3329999999999984
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.102,3.0604444486193216,0.2971195924393351,0.7794311723043719,0.537072880598891,0.2685364402994455,0.38971558615218593,0.3370000000000033
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.103,3.0433374274023515,0.29989711624032733,0.8085935661043954,0.5431779553399916,0.2715889776699958,0.4042967830521977,0.3269999999999982
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.104,3.027493545895819,0.28665720347440077,0.7830182081433626,0.5442096191875644,0.2721048095937822,0.3915091040716813,0.3159999999999954
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.105,2.765288803877923,0.2576780031049929,0.7659398088880051,0.538942427983528,0.269471213991764,0.38296990444400253,0.33200000000000074
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.106,2.7753348249772896,0.2552485982487815,0.7439944178126366,0.5411819884455003,0.2705909942227501,0.3719972089063183,0.3240000000000052
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.107,2.5568344674455368,0.23333135015768794,0.6666500571352073,0.5120206258570059,0.25601031292850296,0.33332502856760365,0.3200000000000003
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.108,3.2276973298586364,0.30782745254908883,0.8304934327819042,0.5596517611719023,0.27982588058595115,0.4152467163909521,0.3009999999999948
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.109,2.8689372446965575,0.26142593827744115,0.76914044349006,0.5358649735158256,0.2679324867579128,0.38457022174503,0.33200000000000074
