model,beta,n,p,q_char,sigma_max,sigma_min,Method,Draw,mse_loss_shannon,mse_loss_simpson,mse_loss_euclidean,mse_loss_bray_curtis,mse_loss_bray_curtis_subset,mse_loss_euclidean_subset,time
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.37,8.937974478957306,0.4796802359232824,1.0892090299959394,0.6484982476780148,0.3242491238390074,0.5446045149979697,0.10000000000000053
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.38,7.7705350941205324,0.38062443114899375,0.9397680297579979,0.6469976141053125,0.32349880705265627,0.46988401487899895,0.08999999999999986
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.39,8.588456575610731,0.4281413020890881,1.045897608108638,0.6537950072702539,0.32689750363512693,0.522948804054319,0.09199999999999964
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.40,8.626131687695395,0.4112022842475738,1.0126668647195152,0.6550673322175414,0.3275336661087707,0.5063334323597576,0.08500000000000085
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.41,8.647082448140978,0.4465705754590097,1.0745833065500958,0.6570725177833856,0.3285362588916928,0.5372916532750479,0.09299999999999997
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.42,8.473498355710465,0.4145261524379757,1.0125218102624396,0.6445890758333025,0.32229453791665125,0.5062609051312198,0.09499999999999886
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.43,8.709547285745412,0.4159777331844154,1.0266523819813667,0.6558798825185816,0.3279399412592908,0.5133261909906833,0.09700000000000131
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.44,8.132323084550961,0.40691960742837774,0.9847048428275085,0.6522452804729687,0.32612264023648435,0.49235242141375424,0.08399999999999963
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.45,9.642945779962865,0.5669450979419282,1.2177585861705507,0.6644588169394269,0.33222940846971344,0.6088792930852753,0.0990000000000002
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.46,7.777478891090375,0.3753935160355203,0.9214621257229721,0.648276268051699,0.3241381340258495,0.4607310628614861,0.08399999999999963
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.47,10.32540019329678,0.6021819369970625,1.282724968740168,0.6588989377098621,0.32944946885493104,0.641362484370084,0.09500000000000064
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.48,8.808787120176799,0.4562859761025328,1.053569500555817,0.6421570333112024,0.3210785166556012,0.5267847502779085,0.08599999999999852
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.49,7.710666528478227,0.3291551054964091,0.9046198505364988,0.6432324563955171,0.32161622819775854,0.4523099252682494,0.09100000000000108
