	Domain	Phylum	Class	Order	Family	Genus	Species
ASV_1441	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
ASV_1442	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Thioalkalispiraceae	Thioprofundum	
ASV_1444	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae		
ASV_1443	Bacteria	Actinobacteria	Actinobacteria				
ASV_1445	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadales_incertae_sedis		
ASV_1446	Bacteria	Proteobacteria	Gammaproteobacteria	Arenicellales	Arenicellaceae	Arenicella	Arenicella_xantha
ASV_1448	Bacteria	Acidobacteria	Acidobacteria_Gp26				
ASV_1447	Bacteria	Bacteroidetes	Cytophagia	Cytophagales			
ASV_1449	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Gemmata	Gemmata_obscuriglobus
ASV_1450	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Lutimonas	Lutimonas_halocynthiae
ASV_1453	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Blastopirellula	Blastopirellula_cremea
ASV_1451	Bacteria	Acidobacteria	Acidobacteria_Gp4				
ASV_1454	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales			
ASV_1452	Bacteria	Proteobacteria					
ASV_1456	Bacteria	Firmicutes					
ASV_1458	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Gimesia	Gimesia_maris
ASV_1457	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_1455	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae		
ASV_1459	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ahrensia	Ahrensia_kielensis
ASV_1460	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
ASV_1461	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_1462	Bacteria	Proteobacteria	Alphaproteobacteria				
ASV_1463	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Litorimonas	Litorimonas_taeanensis
ASV_1464	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Blastopirellula	Blastopirellula_cremea
ASV_1467	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae		
ASV_1466	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_1468	Bacteria	Proteobacteria	Deltaproteobacteria				
ASV_1470	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_1469	Bacteria	Proteobacteria					
ASV_1465	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales			
ASV_1471	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_1474	Bacteria	Proteobacteria	Deltaproteobacteria				
ASV_1472	Bacteria						
ASV_1473	Bacteria	Acidobacteria					
ASV_1476	Bacteria	Firmicutes	Clostridia				
ASV_1475	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_1477	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales			
ASV_1479	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales			
ASV_1480	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales			
ASV_1481	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_1482	Bacteria	Proteobacteria	Deltaproteobacteria				
ASV_1478	Bacteria	Proteobacteria	Deltaproteobacteria				
ASV_1483	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Chondromyces	
ASV_1484	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_1486	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae		
ASV_1485	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_1487	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae		
ASV_1489	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales			
ASV_1488	Bacteria	Proteobacteria					
ASV_1490	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales			
ASV_1492	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Blastopirellula	Blastopirellula_cremea
ASV_1493	Bacteria						
ASV_1491	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_1494	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae		
ASV_1495	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales			
ASV_1498	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_1497	Bacteria						
ASV_1499	Bacteria						
ASV_1500	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Gimesia	Gimesia_maris
ASV_1496	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales			
ASV_1502	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_1503	Bacteria	Acidobacteria	Acidobacteria_Gp21				
ASV_1505	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales			
ASV_1506	Bacteria						
ASV_1501	Bacteria						
ASV_1504	Bacteria	Proteobacteria					
ASV_1508	Bacteria						
ASV_1507	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_1512	Bacteria	Firmicutes	Clostridia				
ASV_1511	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_1510	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium	Mycobacterium_paraense
ASV_1514	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Blastopirellula	
ASV_1513	Bacteria	Acidobacteria	Acidobacteria_Gp16				
ASV_1509	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_1516	Bacteria						
ASV_1515	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_1517	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Thioalkalispiraceae	Thioprofundum	
ASV_1519	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_1521	Bacteria	Acidobacteria					
ASV_1520	Bacteria	Firmicutes	Clostridia				
ASV_1518	Bacteria						
ASV_1523	Bacteria	Acidobacteria					
ASV_1522	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales			
ASV_1525	Bacteria						
ASV_1524	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	
ASV_1527	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_1526	Bacteria						
ASV_1528	Bacteria						
ASV_1530	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Oceanibaculum	Oceanibaculum_pacificum
ASV_1531	Bacteria	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina	
ASV_1532	Bacteria	Proteobacteria	Alphaproteobacteria				
ASV_1529	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	Coraliomargarita	Coraliomargarita_akajimensis
ASV_1533	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_1534	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae		
ASV_1536	Bacteria						
ASV_1535	Bacteria	Firmicutes	Clostridia				
ASV_1537	Bacteria	Proteobacteria	Alphaproteobacteria				
ASV_1539	Bacteria	Proteobacteria	Alphaproteobacteria				
ASV_1538	Bacteria	Firmicutes					
ASV_1541	Bacteria						
ASV_1540	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Blastopirellula	Blastopirellula_cremea
ASV_1542	Bacteria						
