name,label,n,sigma_max,sigma_min,p,q,mm,beta_sd,Method,Draw,mse_loss_shannon,mse_loss_simpson,mse_loss_euclidean,mse_loss_bray_curtis,mse_loss_bray_curtis_subset,mse_loss_euclidean_subset,time
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.49,0.29222718415968013,0.010381535782032752,0.018222345655362827,0.038454237607429484,0.019227118803714742,0.009111172827681414,1.0870000000000033
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.50,0.2687977666741338,0.009742638693729962,0.01930117499239846,0.03246810122621844,0.01623405061310922,0.00965058749619923,1.1270000000000024
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.51,0.0024449174249168808,1.834973042449584e-4,0.004039271066871025,0.026761276120282743,0.013380638060141371,0.0020196355334355124,1.2829999999999941
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.52,1.0579312284146065,0.10047228964365494,0.19606507594276712,0.11752376909901559,0.058761884549507794,0.09803253797138356,1.1200000000000045
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.53,1.1555152068565064,0.10848445520164952,0.026553907840021977,0.012600959087097435,0.006300479543548718,0.013276953920010989,1.1739999999999924
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.54,0.6397401332353239,0.04558050461951759,0.12478877721719776,0.08340888807122734,0.04170444403561367,0.06239438860859888,1.0970000000000084
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.55,0.22923283298668212,0.012048329749331286,0.05555698049804391,0.08462724120061806,0.04231362060030903,0.027778490249021955,1.0849999999999937
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.56,0.19057710956881457,0.009338768787620227,0.0635687885685922,0.12724914636978527,0.06362457318489263,0.0317843942842961,1.1090000000000089
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.57,0.5980630926024366,0.04624730040664095,0.08636969623052888,0.07619198533753123,0.038095992668765614,0.04318484811526444,1.4789999999999992
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.58,0.4689605428779353,0.03451279542204302,0.0865500166719874,0.07485320824040717,0.037426604120203585,0.0432750083359937,1.1280000000000001
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.59,0.28209555946122916,0.009663732359653445,0.06285632727347415,0.07819156141414242,0.03909578070707121,0.031428163636737075,1.090999999999994
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.60,0.34742912212596705,0.017018900297385862,0.08788633085442457,0.12347501302562142,0.06173750651281071,0.043943165427212286,1.1069999999999993
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.61,2.0310087901984053,0.25799169882590917,0.3860045237817693,0.18102992560427839,0.09051496280213919,0.19300226189088465,1.1000000000000085
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.62,0.7737312056544892,0.07725469949804135,0.14813292959099325,0.11096931258599049,0.055484656292995246,0.07406646479549663,1.0689999999999884
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.63,0.3331007055768956,0.010835969970802689,0.044091984500701294,0.052323109923042996,0.026161554961521498,0.022045992250350647,1.0760000000000076
